ymd,jyo,racenum,age,joken,track,kyori,baba,tosu,tan,fuk1,fuk2,fuk3,umaren,umatan,3renpuku,3rentan,wide1,wide2,wide3,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,winrate,topodds
20250113,7,6,2,5,23,1400,1,16,400,160,200,180,1520,2260,3220,19000,580,460,770,1,2,9,11,7,8,5,13,3,4,10,6,12,14,16,15,0,0,0.237,4.0,
20250113,7,7,2,5,11,2200,1,18,1370,360,210,270,3860,8320,12470,61680,1300,1400,1060,5,4,2,1,6,3,11,9,13,15,7,16,18,12,8,10,17,14,0.243,2.3,
20250113,7,8,2,5,23,1900,1,16,390,230,360,810,3880,6030,29900,113950,1730,2440,4590,13,11,15,1,6,14,5,3,4,2,7,12,8,9,10,16,0,0,0.302,4.7,
20250113,7,9,2,10,23,1400,1,16,900,240,180,200,1920,4840,4520,36180,700,990,540,3,2,8,7,1,4,6,10,5,11,16,15,9,14,13,12,0,0,0.162,7.1,
20250118,6,11,2,999,18,1200,1,16,4120,720,180,360,7300,22210,26530,220840,2180,5950,940,12,7,4,5,6,2,1,3,13,10,14,15,16,8,9,11,0,0,0.187,4.0,
20250118,7,12,2,10,11,1600,1,13,370,150,140,350,520,950,3160,13870,240,1000,940,9,1,2,7,6,10,3,4,12,5,13,8,11,0,0,0,0,0,0.539,6.8,
20250118,7,11,2,16,23,1400,1,16,770,210,130,830,900,2460,13290,67260,420,4540,2100,2,1,8,4,16,5,6,13,7,11,12,10,9,3,14,15,0,0,0.394,2.0,
20250118,7,10,1,999,11,1400,1,12,340,150,610,210,5800,9270,9560,57560,1820,390,2640,7,12,6,11,1,3,4,9,8,5,2,10,0,0,0,0,0,0,0.171,20.8,
20250118,7,9,2,10,23,1800,1,16,300,160,1980,500,20360,29190,87140,414430,6510,1200,14370,4,1,11,10,3,5,9,13,7,14,8,15,6,2,12,16,0,0,0.231,3.9,
20250118,7,8,2,5,23,1200,1,16,380,170,240,180,2050,3930,2980,20480,790,400,1090,3,8,1,2,16,14,6,7,5,10,12,11,9,4,13,15,0,0,0.272,4.3,
20250118,7,7,2,5,23,1900,1,12,230,120,200,120,780,1220,740,3940,320,170,480,1,3,5,7,6,10,2,12,4,9,8,11,0,0,0,0,0,0,0.267,2.3,
20250118,7,5,1,703,11,2000,1,18,530,200,450,320,5710,9340,12360,81790,1760,1010,2200,16,4,2,10,12,6,1,9,14,13,7,3,8,18,11,15,17,5,0.190,4.1,
20250118,7,4,1,5,23,1800,1,16,1110,400,390,1130,4970,9380,72290,387310,1820,7120,7220,9,16,6,8,1,15,13,5,3,2,11,7,12,10,4,14,0,0,0.298,4.4,
20250118,7,1,1,703,23,1200,1,16,310,130,150,600,670,1360,6550,23680,320,1300,2310,2,1,5,6,7,4,9,10,14,16,12,11,3,8,15,13,0,0,0.204,3.8,
20250118,6,12,2,5,17,2000,1,16,290,120,180,110,910,1510,440,3730,310,170,290,3,1,16,2,6,4,7,11,13,7,10,5,12,9,15,14,0,0,0.287,2.0,
20250118,6,10,2,16,24,1800,1,16,470,190,160,640,920,2140,9440,32740,410,1880,1920,1,4,2,14,8,9,16,6,5,3,11,7,15,10,13,12,0,0,0.367,4.7,
20250118,6,9,1,5,18,1600,1,16,1210,220,380,110,14780,33130,4370,73880,2760,330,630,6,3,5,11,1,15,4,7,12,2,14,16,10,8,13,9,0,0,0.240,7.2,
20250118,6,8,2,10,24,1200,1,16,1360,410,1370,1670,36430,75870,578870,2925170,9190,9650,34420,12,4,5,14,9,15,8,10,1,16,2,6,11,3,7,13,0,0,0.360,6.2,
20250118,6,7,2,10,24,1800,1,13,1560,410,190,470,2670,7050,9910,49560,780,2590,1010,10,7,6,4,2,12,1,8,11,5,3,13,9,0,0,0,0,0,0.386,3.1,
20250118,6,6,2,5,24,1200,1,16,750,200,190,260,1610,3760,7320,41830,610,1060,1000,1,8,3,4,2,13,7,6,9,11,5,15,12,10,14,16,0,0,0.171,7.5,
20250118,6,5,1,703,17,2000,1,18,3080,600,230,110,13000,30350,6340,104540,2980,1060,390,1,3,8,6,14,5,4,18,2,15,10,11,9,16,13,7,12,17,0.264,30.8,
20250118,6,2,1,703,24,1800,1,16,360,130,210,140,1080,2250,1440,8030,380,270,500,9,1,5,3,13,10,2,6,4,16,7,8,12,14,11,15,0,0,0.195,3.4,
20250118,6,1,1,703,24,1200,1,16,160,110,240,130,1090,1770,1470,5180,470,180,890,1,5,6,9,13,16,2,4,7,12,3,8,10,15,14,11,0,0,0.322,1.6,
20250119,7,1,1,703,23,1200,1,16,390,180,350,300,3230,5010,9550,49290,1200,810,2570,1,4,2,3,10,8,5,6,16,14,9,13,12,15,7,11,0,0,0.157,3.9,
20250119,6,3,1,703,24,1800,1,16,380,170,170,680,980,1990,9320,40980,410,2330,2170,1,7,15,16,5,6,4,2,8,11,9,12,14,10,13,3,0,0,0.272,3.8,
20250119,6,6,1,5,24,1200,1,16,380,200,560,220,3620,5920,5080,28940,1070,390,1590,5,8,3,7,4,1,6,14,13,2,9,11,16,10,12,15,0,0,0.221,2.1,
20250119,6,7,2,5,24,1800,1,13,130,110,300,320,900,1050,3120,9060,390,490,2300,1,11,5,4,6,2,13,7,8,12,3,10,9,0,0,0,0,0,0.687,1.3,
20250119,6,8,2,10,17,1800,1,14,740,270,190,250,3130,5310,7460,37990,890,1090,800,1,7,3,8,11,4,5,2,6,9,14,12,13,10,0,0,0,0,0.259,7.4,
20250119,6,9,2,16,18,1600,1,12,420,160,1090,280,12190,18650,24450,140330,3130,730,4790,3,8,5,1,7,6,4,12,11,10,2,9,0,0,0,0,0,0,0.281,8.1,
20250119,6,10,2,999,24,1200,1,16,19510,2030,130,240,24150,80760,52280,644590,6540,15160,530,8,3,7,2,4,16,5,13,9,6,14,11,15,12,10,1,0,0,0.232,3.3,
